Type,Instance,Radii,Lengths,PosX,PosY,PosZ,DirX,DirY,DirZ
Type 4,Instance 8,[2.404],[25.0],23.30000000000007,36.999999999999964,73.29999999999998,0.0,-1.0,0.0
Type 4,Instance 9,[2.404],[25.0],26.700000000000053,388.02441199835346,131.37975105768083,0.0,0.7071067811865481,-0.707106781186547
Type 4,Instance 10,[2.404],[25.0],26.70000000000003,471.9999999999999,298.3,0.0,1.0,0.0
Type 4,Instance 11,[2.404],[25.0],23.300000000000036,249.55786437626912,45.0,0.0,0.0,-1.0
Type 4,Instance 12,[2.404],[25.0],23.300000000000036,83.7,45.0,0.0,0.0,-1.0
Type 4,Instance 13,[2.404],[25.0],626.6999999999971,80.30000000002083,45.00000000000233,9.09494701772928e-15,-2.444267011014744e-14,-1.0
Type 4,Instance 14,[2.404],[25.0],626.6999999999919,246.15786437628995,44.999999999998295,9.09494701772928e-15,-2.387423592153936e-14,-1.0
Type 4,Instance 15,[2.404],[25.0],623.2999999999831,472.00000000002683,301.69999999999266,-3.6379788070916966e-14,1.0,-2.2737367544323103e-14
Type 4,Instance 16,[2.404],[25.0],623.299999999987,385.62024894234196,128.97558800164143,-1.818989403545846e-14,0.707106781186531,-0.707106781186564
Type 4,Instance 17,[2.404],[25.0],626.6999999999982,37.00000000002156,76.7000000000034,3.637978807091713e-14,-1.0,2.3874235921539365e-14
Type 4,Instance 18,[2.404],[25.0],626.6999999999966,37.00000000002767,326.7000000000034,2.7284841053187846e-14,-1.0,2.2737367544323207e-14
Type 4,Instance 19,[2.404],[25.0],623.2999999999965,37.000000000027484,323.30000000000337,3.6379788070917124e-14,-1.0,2.5011104298755524e-14
Type 4,Instance 20,[2.404],[25.0],623.2999999999984,37.00000000002137,73.30000000000334,2.7284841053187843e-14,-1.0,2.5011104298755524e-14
Type 4,Instance 21,[2.404],[25.0],626.6999999999869,388.0244119983764,131.37975105767563,-1.8189894035458505e-14,0.7071067811865305,-0.7071067811865646
Type 4,Instance 22,[2.404],[25.0],626.699999999983,472.00000000002694,298.2999999999927,-2.7284841053187846e-14,1.0,-2.2737367544323207e-14
Type 4,Instance 23,[2.404],[25.0],623.2999999999918,249.55786437628984,44.99999999999818,9.094947017729286e-15,-2.5011104298755533e-14,-1.0
Type 4,Instance 24,[2.404],[25.0],623.299999999997,83.70000000002072,45.00000000000222,9.094947017729286e-15,-2.4442670110147452e-14,-1.0
Type 5,Instance 1,[4.419],[30.0],10.000000000000036,162.828797739065,229.26888296681852,1.0,0.0,0.0
Type 5,Instance 2,[4.419],[30.0],10.000000000000036,58.43639320923947,67.80650394747714,1.0,0.0,0.0
Type 5,Instance 3,[4.419],[30.0],10.000000000000036,88.50484549206664,264.508687911516,1.0,0.0,0.0
Type 5,Instance 4,[4.419],[30.0],10.000000000000036,431.9327627713004,203.6399339161294,1.0,0.0,0.0
Type 5,Instance 5,[4.419],[30.0],10.000000000000036,365.938218965776,282.4489522469984,1.0,0.0,0.0
Type 5,Instance 6,[4.419],[30.0],10.000000000000036,187.17629933721963,295.90415049861014,1.0,0.0,0.0
Type 5,Instance 7,[4.419],[30.0],10.000000000000036,238.43419743859783,67.80650394747714,1.0,0.0,0.0
Type 5,Instance 8,[4.419],[30.0],10.000000000000036,419.76168774600154,339.93454030998186,1.0,0.0,0.0
Type 5,Instance 9,[4.419],[30.0],10.000000000000036,426.01168774600154,333.68454030998186,1.0,0.0,0.0
Type 5,Instance 10,[4.419],[30.0],10.000000000000036,244.68419743859783,61.55650394747717,1.0,0.0,0.0
Type 5,Instance 11,[4.419],[30.0],10.000000000000036,193.42629933721963,289.65415049861014,1.0,0.0,0.0
Type 5,Instance 12,[4.419],[30.0],10.000000000000036,372.188218965776,276.1989522469984,1.0,0.0,0.0
Type 5,Instance 13,[4.419],[30.0],10.000000000000036,438.1827627713004,197.3899339161294,1.0,0.0,0.0
Type 5,Instance 14,[4.419],[30.0],10.000000000000036,94.75484549206664,258.258687911516,1.0,0.0,0.0
Type 5,Instance 15,[4.419],[30.0],10.000000000000036,64.68639320923944,61.55650394747717,1.0,0.0,0.0
Type 5,Instance 16,[4.419],[30.0],10.000000000000036,169.078797739065,223.01888296681852,1.0,0.0,0.0
Type 5,Instance 17,[4.419],[30.0],609.9999999999933,162.8287977390898,229.2688829668187,1.0,3.031649005909761e-14,7.579122514774402e-15
Type 5,Instance 18,[4.419],[30.0],609.9999999999977,58.43639320926032,67.80650394747991,1.0,3.150072795203111e-14,6.631732200427602e-15
Type 5,Instance 19,[4.419],[30.0],609.9999999999955,88.5048454920923,264.508687911518,1.0,3.126388037344441e-14,7.579122514774402e-15
Type 5,Instance 20,[4.419],[30.0],609.999999999985,431.93276277132463,203.63993391612297,1.0,3.410605131648481e-14,7.579122514774402e-15
Type 5,Instance 21,[4.419],[30.0],609.9999999999866,365.93821896580215,282.4489522469936,1.0,3.221127068779121e-14,7.579122514774402e-15
Type 5,Instance 22,[4.419],[30.0],609.9999999999922,187.17629933724606,295.90415049860974,1.0,3.031649005909761e-14,7.579122514774402e-15
Type 5,Instance 23,[4.419],[30.0],609.999999999992,238.4341974386187,67.80650394747548,1.0,3.126388037344441e-14,6.631732200427602e-15
Type 5,Instance 24,[4.419],[30.0],609.9999999999845,419.7616877460291,339.9345403099758,1.0,3.031649005909761e-14,7.579122514774402e-15
Type 5,Instance 25,[4.419],[30.0],609.9999999999843,426.01168774602894,333.68454030997566,1.0,3.221127068779121e-14,3.789561257387201e-15
Type 5,Instance 26,[4.419],[30.0],609.9999999999918,244.68419743861853,61.55650394747535,1.0,3.126388037344441e-14,6.631732200427602e-15
Type 5,Instance 27,[4.419],[30.0],609.9999999999919,193.4262993372459,289.6541504986096,1.0,3.221127068779121e-14,3.789561257387201e-15
Type 5,Instance 28,[4.419],[30.0],609.9999999999864,372.188218965802,276.1989522469935,1.0,3.031649005909761e-14,3.789561257387201e-15
Type 5,Instance 29,[4.419],[30.0],609.9999999999848,438.1827627713245,197.38993391612283,1.0,3.031649005909761e-14,6.631732200427602e-15
Type 5,Instance 30,[4.419],[30.0],609.9999999999952,94.75484549209216,258.2586879115178,1.0,3.126388037344441e-14,5.684341886080802e-15
Type 5,Instance 31,[4.419],[30.0],609.9999999999975,64.68639320926015,61.55650394747978,1.0,3.173757553061781e-14,6.631732200427602e-15
Type 5,Instance 32,[4.419],[30.0],609.9999999999931,169.07879773908962,223.01888296681855,1.0,3.221127068779121e-14,6.631732200427602e-15
Type 6,Instance 1,[2.934],[30.0],10.000000000000036,61.3630015363087,326.24961308570425,1.0,0.0,0.0
Type 6,Instance 2,[2.934],[30.0],10.000000000000036,158.75300792892722,346.75277232625547,1.0,0.0,0.0
Type 6,Instance 3,[2.934],[30.0],10.000000000000036,149.78287576118606,155.17637817235456,1.0,0.0,0.0
Type 6,Instance 4,[2.934],[30.0],10.000000000000036,383.64703584872393,150.691312088484,1.0,0.0,0.0
Type 6,Instance 5,[2.934],[30.0],10.000000000000036,109.41728100635072,53.94202942213269,1.0,0.0,0.0
Type 6,Instance 6,[2.934],[30.0],10.000000000000036,47.90780328469691,168.63157642396635,1.0,0.0,0.0
Type 6,Instance 7,[2.934],[30.0],10.000000000000036,234.99913135472724,198.1048678322588,1.0,0.0,0.0
Type 6,Instance 8,[2.934],[30.0],10.000000000000036,263.19097531048527,355.08218076772937,1.0,0.0,0.0
Type 6,Instance 9,[2.934],[30.0],10.000000000000036,267.34097531048525,350.9321807677294,1.0,0.0,0.0
Type 6,Instance 10,[2.934],[30.0],10.000000000000036,239.14913135472722,193.95486783225883,1.0,0.0,0.0
Type 6,Instance 11,[2.934],[30.0],10.000000000000036,52.05780328469689,164.48157642396637,1.0,0.0,0.0
Type 6,Instance 12,[2.934],[30.0],10.000000000000036,113.5672810063507,49.792029422132714,1.0,0.0,0.0
Type 6,Instance 13,[2.934],[30.0],10.000000000000036,387.7970358487239,146.54131208848403,1.0,0.0,0.0
Type 6,Instance 14,[2.934],[30.0],10.000000000000036,153.93287576118604,151.02637817235458,1.0,0.0,0.0
Type 6,Instance 15,[2.934],[30.0],10.000000000000036,162.90300792892725,342.6027723262555,1.0,0.0,0.0
Type 6,Instance 16,[2.934],[30.0],10.000000000000036,65.51300153630868,322.0996130857043,1.0,0.0,0.0
Type 6,Instance 17,[2.934],[30.0],609.9999999999959,61.36300153633587,326.24961308570687,1.0,3.126388037344441e-14,7.579122514774402e-15
Type 6,Instance 18,[2.934],[30.0],609.9999999999927,158.7530079289549,346.7527723262558,1.0,3.221127068779121e-14,5.684341886080802e-15
Type 6,Instance 19,[2.934],[30.0],609.9999999999941,149.78287576120903,155.17637817235504,1.0,3.221127068779121e-14,7.579122514774402e-15
Type 6,Instance 20,[2.934],[30.0],609.9999999999868,383.64703584874684,150.6913120884788,1.0,3.221127068779121e-14,6.631732200427602e-15
Type 6,Instance 21,[2.934],[30.0],609.9999999999961,109.41728100637123,53.9420294221342,1.0,3.126388037344441e-14,6.631732200427602e-15
Type 6,Instance 22,[2.934],[30.0],609.9999999999973,47.907803284720224,168.6315764239693,1.0,3.150072795203111e-14,7.579122514774402e-15
Type 6,Instance 23,[2.934],[30.0],609.9999999999911,234.99913135475123,198.10486783225718,1.0,3.221127068779121e-14,7.579122514774402e-15
Type 6,Instance 24,[2.934],[30.0],609.9999999999893,263.1909753105131,355.0821807677271,1.0,3.221127068779121e-14,7.579122514774402e-15
Type 6,Instance 25,[2.934],[30.0],609.9999999999891,267.34097531051304,350.932180767727,1.0,3.031649005909761e-14,7.579122514774402e-15
Type 6,Instance 26,[2.934],[30.0],609.9999999999911,239.14913135475112,193.9548678322571,1.0,3.126388037344441e-14,7.579122514774402e-15
Type 6,Instance 27,[2.934],[30.0],609.9999999999973,52.05780328472011,164.48157642396922,1.0,3.126388037344441e-14,7.579122514774402e-15
Type 6,Instance 28,[2.934],[30.0],609.9999999999961,113.5672810063711,49.79202942213411,1.0,3.173757553061781e-14,6.631732200427602e-15
