Type,Instance,Radii,Length,PosX,PosY,PosZ,DirX,DirY,DirZ
Type 3,Instance 1,10.0,12.0,10.000000000000004,6.0,10.0,0.0,-1.0,0.0
Type 3,Instance 2,10.0,12.0,640.0,6.0,10.0,0.0,-1.0,0.0
Type 3,Instance 3,10.0,12.0,640.0,6.0,390.0,0.0,-1.0,0.0
Type 3,Instance 4,10.0,12.0,10.00000000000005,6.0,390.0,0.0,-1.0,0.0
Type 4,Instance 1,3.4,25.0,25.000000000000036,82.0,32.5,0.0,0.0,-1.0
Type 4,Instance 1,3.4,25.0,25.000000000000036,82.0,32.5,0.0,0.0,-1.0
Type 4,Instance 2,3.4,25.0,25.00000000000003,247.85786437626913,32.5,0.0,0.0,-1.0
Type 4,Instance 2,3.4,25.0,25.00000000000003,247.85786437626913,32.5,0.0,0.0,-1.0
Type 4,Instance 3,3.4,25.0,25.000000000000036,484.4999999999999,300.0,0.0,1.0,0.0
Type 4,Instance 3,3.4,25.0,25.000000000000036,484.4999999999999,300.0,0.0,1.0,0.0
Type 4,Instance 4,3.4,25.0,25.000000000000064,395.6611652351682,121.33883476483184,0.0,0.7071067811865492,-0.7071067811865458
Type 4,Instance 4,3.4,25.0,25.000000000000064,395.6611652351682,121.33883476483184,0.0,0.7071067811865492,-0.7071067811865458
Type 4,Instance 5,3.4,25.0,25.000000000000078,24.499999999999964,75.0,0.0,-1.0,0.0
Type 4,Instance 5,3.4,25.0,25.000000000000078,24.499999999999964,75.0,0.0,-1.0,0.0
Type 4,Instance 6,3.4,25.0,25.000000000000043,24.499999999999964,325.0,0.0,-1.0,0.0
Type 4,Instance 6,3.4,25.0,25.000000000000043,24.499999999999964,325.0,0.0,-1.0,0.0
Type 4,Instance 7,3.4,25.0,624.9999999999972,82.00000000002046,32.500000000002274,9.094947017729283e-15,-2.4442670110147446e-14,-1.0
Type 4,Instance 7,3.4,25.0,624.9999999999972,82.00000000002046,32.500000000002274,9.094947017729283e-15,-2.4442670110147446e-14,-1.0
Type 4,Instance 8,3.4,25.0,624.9999999999919,247.8578643762896,32.49999999999824,9.094947017729283e-15,-2.5011104298755527e-14,-1.0
Type 4,Instance 8,3.4,25.0,624.9999999999919,247.8578643762896,32.49999999999824,9.094947017729283e-15,-2.5011104298755527e-14,-1.0
Type 4,Instance 9,3.4,25.0,624.9999999999827,484.50000000002694,299.9999999999924,-3.1832314562052416e-14,1.0,-2.501110429875547e-14
Type 4,Instance 9,3.4,25.0,624.9999999999827,484.50000000002694,299.9999999999924,-3.1832314562052416e-14,1.0,-2.501110429875547e-14
Type 4,Instance 10,3.4,25.0,624.9999999999867,395.6611652351909,121.33883476482644,-1.818989403545852e-14,0.7071067811865288,-0.7071067811865663
Type 4,Instance 10,3.4,25.0,624.9999999999867,395.6611652351909,121.33883476482644,-1.818989403545852e-14,0.7071067811865288,-0.7071067811865663
Type 4,Instance 11,3.4,25.0,624.9999999999986,24.500000000021465,75.00000000000367,3.183231456205249e-14,-1.0,2.4442670110147446e-14
Type 4,Instance 11,3.4,25.0,624.9999999999986,24.500000000021465,75.00000000000367,3.183231456205249e-14,-1.0,2.4442670110147446e-14
Type 4,Instance 12,3.4,25.0,624.999999999997,24.500000000027576,325.0000000000037,3.183231456205249e-14,-1.0,2.2737367544323207e-14
Type 4,Instance 12,3.4,25.0,624.999999999997,24.500000000027576,325.0000000000037,3.183231456205249e-14,-1.0,2.2737367544323207e-14
Type 5,Instance 1,6.25,30.0,25.000000000000036,165.953797739065,226.14388296681852,1.0,0.0,0.0
Type 5,Instance 1,6.25,30.0,25.000000000000036,165.953797739065,226.14388296681852,1.0,0.0,0.0
Type 5,Instance 2,6.25,30.0,25.000000000000036,61.561393209239455,64.68150394747715,1.0,0.0,0.0
Type 5,Instance 2,6.25,30.0,25.000000000000036,61.561393209239455,64.68150394747715,1.0,0.0,0.0
Type 5,Instance 3,6.25,30.0,25.000000000000036,91.62984549206664,261.383687911516,1.0,0.0,0.0
Type 5,Instance 3,6.25,30.0,25.000000000000036,91.62984549206664,261.383687911516,1.0,0.0,0.0
Type 5,Instance 4,6.25,30.0,25.000000000000036,435.0577627713004,200.5149339161294,1.0,0.0,0.0
Type 5,Instance 4,6.25,30.0,25.000000000000036,435.0577627713004,200.5149339161294,1.0,0.0,0.0
Type 5,Instance 5,6.25,30.0,25.000000000000036,369.063218965776,279.3239522469984,1.0,0.0,0.0
Type 5,Instance 5,6.25,30.0,25.000000000000036,369.063218965776,279.3239522469984,1.0,0.0,0.0
Type 5,Instance 6,6.25,30.0,25.000000000000036,190.30129933721963,292.77915049861014,1.0,0.0,0.0
Type 5,Instance 6,6.25,30.0,25.000000000000036,190.30129933721963,292.77915049861014,1.0,0.0,0.0
Type 5,Instance 7,6.25,30.0,25.000000000000036,241.55919743859783,64.68150394747715,1.0,0.0,0.0
Type 5,Instance 7,6.25,30.0,25.000000000000036,241.55919743859783,64.68150394747715,1.0,0.0,0.0
Type 5,Instance 8,6.25,30.0,25.000000000000036,422.88668774600154,336.80954030998186,1.0,0.0,0.0
Type 5,Instance 8,6.25,30.0,25.000000000000036,422.88668774600154,336.80954030998186,1.0,0.0,0.0
Type 5,Instance 9,6.25,30.0,624.9999999999932,165.95379773909016,226.14388296681875,1.0,3.221127068779121e-14,6.631732200427602e-15
Type 5,Instance 9,6.25,30.0,624.9999999999932,165.95379773909016,226.14388296681875,1.0,3.221127068779121e-14,6.631732200427602e-15
Type 5,Instance 10,6.25,30.0,624.9999999999976,61.56139320926071,64.68150394747995,1.0,3.173757553061781e-14,6.631732200427602e-15
Type 5,Instance 10,6.25,30.0,624.9999999999976,61.56139320926071,64.68150394747995,1.0,3.173757553061781e-14,6.631732200427602e-15
Type 5,Instance 11,6.25,30.0,624.9999999999953,91.6298454920927,261.383687911518,1.0,3.173757553061781e-14,5.684341886080802e-15
Type 5,Instance 11,6.25,30.0,624.9999999999953,91.6298454920927,261.383687911518,1.0,3.173757553061781e-14,5.684341886080802e-15
Type 5,Instance 12,6.25,30.0,624.9999999999849,435.0577627713251,200.51493391612303,1.0,3.031649005909761e-14,6.631732200427602e-15
Type 5,Instance 12,6.25,30.0,624.9999999999849,435.0577627713251,200.51493391612303,1.0,3.031649005909761e-14,6.631732200427602e-15
Type 5,Instance 13,6.25,30.0,624.9999999999865,369.06321896580255,279.3239522469936,1.0,3.031649005909761e-14,7.579122514774402e-15
Type 5,Instance 13,6.25,30.0,624.9999999999865,369.06321896580255,279.3239522469936,1.0,3.031649005909761e-14,7.579122514774402e-15
Type 5,Instance 14,6.25,30.0,624.999999999992,190.30129933724643,292.77915049860974,1.0,3.221127068779121e-14,7.579122514774402e-15
Type 5,Instance 14,6.25,30.0,624.999999999992,190.30129933724643,292.77915049860974,1.0,3.221127068779121e-14,7.579122514774402e-15
Type 5,Instance 15,6.25,30.0,624.9999999999919,241.55919743861907,64.68150394747552,1.0,3.221127068779121e-14,6.631732200427602e-15
Type 5,Instance 15,6.25,30.0,624.9999999999919,241.55919743861907,64.68150394747552,1.0,3.221127068779121e-14,6.631732200427602e-15
Type 5,Instance 16,6.25,30.0,624.9999999999844,422.88668774602945,336.8095403099758,1.0,3.221127068779121e-14,7.579122514774402e-15
Type 5,Instance 16,6.25,30.0,624.9999999999844,422.88668774602945,336.8095403099758,1.0,3.221127068779121e-14,7.579122514774402e-15
Type 6,Instance 1,4.15,30.0,25.000000000000036,63.43800153630869,324.17461308570427,1.0,0.0,0.0
Type 6,Instance 1,4.15,30.0,25.000000000000036,63.43800153630869,324.17461308570427,1.0,0.0,0.0
Type 6,Instance 2,4.15,30.0,25.000000000000036,160.82800792892724,344.6777723262555,1.0,0.0,0.0
Type 6,Instance 2,4.15,30.0,25.000000000000036,160.82800792892724,344.6777723262555,1.0,0.0,0.0
Type 6,Instance 3,4.15,30.0,25.000000000000036,151.85787576118605,153.10137817235457,1.0,0.0,0.0
Type 6,Instance 3,4.15,30.0,25.000000000000036,151.85787576118605,153.10137817235457,1.0,0.0,0.0
Type 6,Instance 4,4.15,30.0,25.000000000000036,385.7220358487239,148.61631208848402,1.0,0.0,0.0
Type 6,Instance 4,4.15,30.0,25.000000000000036,385.7220358487239,148.61631208848402,1.0,0.0,0.0
Type 6,Instance 5,4.15,30.0,25.000000000000036,111.49228100635071,51.8670294221327,1.0,0.0,0.0
Type 6,Instance 5,4.15,30.0,25.000000000000036,111.49228100635071,51.8670294221327,1.0,0.0,0.0
Type 6,Instance 6,4.15,30.0,25.000000000000036,49.9828032846969,166.55657642396636,1.0,0.0,0.0
Type 6,Instance 6,4.15,30.0,25.000000000000036,49.9828032846969,166.55657642396636,1.0,0.0,0.0
Type 6,Instance 7,4.15,30.0,25.000000000000036,237.07413135472723,196.02986783225882,1.0,0.0,0.0
Type 6,Instance 7,4.15,30.0,25.000000000000036,237.07413135472723,196.02986783225882,1.0,0.0,0.0
Type 6,Instance 8,4.15,30.0,25.000000000000036,265.26597531048526,353.0071807677294,1.0,0.0,0.0
Type 6,Instance 8,4.15,30.0,25.000000000000036,265.26597531048526,353.0071807677294,1.0,0.0,0.0
Type 6,Instance 9,4.15,30.0,624.9999999999958,63.43800153633629,324.17461308570694,1.0,3.126388037344441e-14,7.579122514774402e-15
Type 6,Instance 9,4.15,30.0,624.9999999999958,63.43800153633629,324.17461308570694,1.0,3.126388037344441e-14,7.579122514774402e-15
Type 6,Instance 10,4.15,30.0,624.9999999999926,160.82800792895532,344.6777723262559,1.0,3.221127068779121e-14,5.684341886080802e-15
Type 6,Instance 10,4.15,30.0,624.9999999999926,160.82800792895532,344.6777723262559,1.0,3.221127068779121e-14,5.684341886080802e-15
Type 6,Instance 11,4.15,30.0,624.9999999999941,151.85787576120944,153.1013781723551,1.0,3.221127068779121e-14,7.579122514774402e-15
Type 6,Instance 11,4.15,30.0,624.9999999999941,151.85787576120944,153.1013781723551,1.0,3.221127068779121e-14,7.579122514774402e-15
Type 6,Instance 12,4.15,30.0,624.9999999999868,385.7220358487473,148.61631208847888,1.0,3.031649005909761e-14,6.631732200427602e-15
Type 6,Instance 12,4.15,30.0,624.9999999999868,385.7220358487473,148.61631208847888,1.0,3.031649005909761e-14,6.631732200427602e-15
Type 6,Instance 13,4.15,30.0,624.9999999999961,111.49228100637164,51.86702942213425,1.0,3.126388037344441e-14,6.631732200427602e-15
Type 6,Instance 13,4.15,30.0,624.9999999999961,111.49228100637164,51.86702942213425,1.0,3.126388037344441e-14,6.631732200427602e-15
Type 6,Instance 14,4.15,30.0,624.9999999999973,49.98280328472063,166.55657642396937,1.0,3.150072795203111e-14,7.579122514774402e-15
Type 6,Instance 14,4.15,30.0,624.9999999999973,49.98280328472063,166.55657642396937,1.0,3.150072795203111e-14,7.579122514774402e-15
Type 6,Instance 15,4.15,30.0,624.9999999999911,237.07413135475164,196.02986783225725,1.0,3.221127068779121e-14,7.579122514774402e-15
Type 6,Instance 15,4.15,30.0,624.9999999999911,237.07413135475164,196.02986783225725,1.0,3.221127068779121e-14,7.579122514774402e-15
Type 6,Instance 16,4.15,30.0,624.9999999999892,265.26597531051357,353.00718076772716,1.0,3.031649005909761e-14,7.579122514774402e-15
Type 6,Instance 16,4.15,30.0,624.9999999999892,265.26597531051357,353.00718076772716,1.0,3.031649005909761e-14,7.579122514774402e-15
Type 7,Instance 1,2.6,30.0,25.000000000000036,200.55287895749532,89.02900554563183,1.0,0.0,0.0
Type 7,Instance 1,2.6,30.0,25.000000000000036,200.55287895749532,89.02900554563183,1.0,0.0,0.0
Type 7,Instance 2,2.6,30.0,25.000000000000036,106.36649119621288,208.8443423576033,1.0,0.0,0.0
Type 7,Instance 2,2.6,30.0,25.000000000000036,106.36649119621288,208.8443423576033,1.0,0.0,0.0
Type 7,Instance 3,2.6,30.0,25.000000000000036,135.83978260450536,289.5755318672739,1.0,0.0,0.0
Type 7,Instance 3,2.6,30.0,25.000000000000036,135.83978260450536,289.5755318672739,1.0,0.0,0.0
Type 7,Instance 4,2.6,30.0,25.000000000000036,210.80445857777093,238.95835749216297,1.0,0.0,0.0
Type 7,Instance 4,2.6,30.0,25.000000000000036,210.80445857777093,238.95835749216297,1.0,0.0,0.0
Type 7,Instance 5,2.6,30.0,25.000000000000036,239.6370262597962,129.39460030046712,1.0,0.0,0.0
Type 7,Instance 5,2.6,30.0,25.000000000000036,239.6370262597962,129.39460030046712,1.0,0.0,0.0
Type 7,Instance 6,2.6,30.0,25.000000000000036,82.65971332432547,106.9692698811142,1.0,0.0,0.0
Type 7,Instance 6,2.6,30.0,25.000000000000036,82.65971332432547,106.9692698811142,1.0,0.0,0.0
Type 7,Instance 7,2.6,30.0,25.000000000000036,395.9736154689995,224.86243551428396,1.0,0.0,0.0
Type 7,Instance 7,2.6,30.0,25.000000000000036,395.9736154689995,224.86243551428396,1.0,0.0,0.0
Type 7,Instance 8,2.6,30.0,25.000000000000036,284.487687098502,74.29235984148562,1.0,0.0,0.0
Type 7,Instance 8,2.6,30.0,25.000000000000036,284.487687098502,74.29235984148562,1.0,0.0,0.0
Type 7,Instance 9,2.6,30.0,25.000000000000036,297.3021616238466,328.0189554433076,1.0,0.0,0.0
Type 7,Instance 9,2.6,30.0,25.000000000000036,297.3021616238466,328.0189554433076,1.0,0.0,0.0
Type 7,Instance 10,2.6,30.0,25.000000000000036,239.6370262597962,301.10855894008404,1.0,0.0,0.0
Type 7,Instance 10,2.6,30.0,25.000000000000036,239.6370262597962,301.10855894008404,1.0,0.0,0.0
Type 7,Instance 11,2.6,30.0,624.9999999999931,200.55287895751718,89.02900554563122,1.0,3.126388037344441e-14,6.631732200427602e-15
Type 7,Instance 11,2.6,30.0,624.9999999999931,200.55287895751718,89.02900554563122,1.0,3.126388037344441e-14,6.631732200427602e-15
Type 7,Instance 12,2.6,30.0,624.9999999999952,106.36649119623765,208.84434235760494,1.0,3.126388037344441e-14,6.631732200427602e-15
Type 7,Instance 12,2.6,30.0,624.9999999999952,106.36649119623765,208.84434235760494,1.0,3.126388037344441e-14,6.631732200427602e-15
Type 7,Instance 13,2.6,30.0,624.9999999999937,135.8397826045321,289.5755318672749,1.0,3.126388037344441e-14,5.684341886080802e-15
Type 7,Instance 13,2.6,30.0,624.9999999999937,135.8397826045321,289.5755318672749,1.0,3.126388037344441e-14,5.684341886080802e-15
Type 7,Instance 14,2.6,30.0,624.9999999999917,210.80445857779642,238.95835749216207,1.0,3.126388037344441e-14,6.631732200427602e-15
Type 7,Instance 14,2.6,30.0,624.9999999999917,210.80445857779642,238.95835749216207,1.0,3.126388037344441e-14,6.631732200427602e-15
Type 7,Instance 15,2.6,30.0,624.9999999999916,239.63702625981904,129.39460030046553,1.0,3.126388037344441e-14,6.631732200427602e-15
Type 7,Instance 15,2.6,30.0,624.9999999999916,239.63702625981904,129.39460030046553,1.0,3.126388037344441e-14,6.631732200427602e-15
Type 7,Instance 16,2.6,30.0,624.9999999999966,82.65971332434775,106.96926988111649,1.0,3.126388037344441e-14,6.631732200427602e-15
Type 7,Instance 16,2.6,30.0,624.9999999999966,82.65971332434775,106.96926988111649,1.0,3.126388037344441e-14,6.631732200427602e-15
Type 7,Instance 17,2.6,30.0,624.999999999986,395.9736154690247,224.86243551427856,1.0,3.221127068779121e-14,6.631732200427602e-15
Type 7,Instance 17,2.6,30.0,624.999999999986,395.9736154690247,224.86243551427856,1.0,3.221127068779121e-14,6.631732200427602e-15
Type 7,Instance 18,2.6,30.0,624.9999999999905,284.48768709852357,74.29235984148296,1.0,3.031649005909761e-14,6.631732200427602e-15
Type 7,Instance 18,2.6,30.0,624.9999999999905,284.48768709852357,74.29235984148296,1.0,3.031649005909761e-14,6.631732200427602e-15
Type 7,Instance 19,2.6,30.0,624.9999999999884,297.3021616238743,328.01895544330466,1.0,3.031649005909761e-14,5.684341886080802e-15
Type 7,Instance 19,2.6,30.0,624.9999999999884,297.3021616238743,328.01895544330466,1.0,3.031649005909761e-14,5.684341886080802e-15
Type 7,Instance 20,2.6,30.0,624.9999999999903,239.63702625982324,301.1085589400824,1.0,3.126388037344441e-14,7.579122514774402e-15
Type 7,Instance 20,2.6,30.0,624.9999999999903,239.63702625982324,301.1085589400824,1.0,3.126388037344441e-14,7.579122514774402e-15
Type 8,Instance 1,23.7101,30.0,25.000000000000036,312.0,270.0,-1.0,0.0,0.0
Type 8,Instance 1,23.7101,30.0,25.000000000000036,312.0,270.0,-1.0,0.0,0.0
Type 8,Instance 2,23.7101,30.0,624.9999999999883,312.00000000002626,269.99999999999665,-1.0,-3.221127068779121e-14,-7.579122514774402e-15
Type 8,Instance 2,23.7101,30.0,624.9999999999883,312.00000000002626,269.99999999999665,-1.0,-3.221127068779121e-14,-7.579122514774402e-15
Type 9,Instance 1,23.7101,30.0,25.000000000000036,312.0,140.00000000000003,-1.0,0.0,0.0
Type 9,Instance 2,23.7101,30.0,624.9999999999892,312.0000000000232,139.99999999999665,-1.0,-3.031649005909761e-14,-7.579122514774402e-15
Type 10,Instance 1,10.0,30.0,25.000000000000036,21.999999999999964,380.0,-1.0,0.0,0.0
Type 10,Instance 2,10.0,30.0,25.000000000000036,22.000000000000007,30.0,-1.0,0.0,0.0
Type 10,Instance 3,10.0,30.0,25.000000000000036,486.99999999999994,380.0,-1.0,0.0,0.0
Type 10,Instance 4,10.0,30.0,25.000000000000036,486.99999999999994,209.14213562373098,-1.0,0.0,0.0
