Type,Instance,Radii,Length,PosX,PosY,PosZ,DirX,DirY,DirZ
Type 4,Instance 19,2.4042,25.0,623.299999999997,24.500000000027484,323.3000000000037,3.6379788070917124e-14,-1.0,2.5011104298755524e-14
Type 4,Instance 20,2.4042,25.0,623.2999999999987,24.500000000021373,73.30000000000365,2.7284841053187843e-14,-1.0,2.5011104298755524e-14
Type 5,Instance 22,4.4194,30.0,624.9999999999922,187.17629933724652,295.90415049860985,1.0,3.031649005909761e-14,7.579122514774402e-15
Type 5,Instance 27,4.4194,30.0,624.9999999999919,193.42629933724638,289.6541504986097,1.0,3.221127068779121e-14,3.789561257387201e-15
Type 6,Instance 17,2.9345,30.0,624.9999999999959,61.36300153633634,326.249613085707,1.0,3.126388037344441e-14,7.579122514774402e-15
Type 6,Instance 18,2.9345,30.0,624.9999999999927,158.75300792895538,346.7527723262559,1.0,3.221127068779121e-14,5.684341886080802e-15
Type 6,Instance 24,2.9345,30.0,624.9999999999893,263.19097531051364,355.0821807677272,1.0,3.221127068779121e-14,7.579122514774402e-15
Type 6,Instance 25,2.9345,30.0,624.9999999999891,267.3409753105135,350.9321807677271,1.0,3.031649005909761e-14,7.579122514774402e-15
Type 6,Instance 31,2.9345,30.0,624.9999999999925,162.90300792895528,342.60277232625583,1.0,3.031649005909761e-14,5.684341886080802e-15
Type 6,Instance 32,2.9345,30.0,624.9999999999957,65.51300153633622,322.0996130857069,1.0,3.173757553061781e-14,7.579122514774402e-15
Type 7,Instance 23,1.8385,30.0,624.9999999999939,134.53978260453212,290.87553186727484,1.0,3.221127068779121e-14,5.684341886080802e-15
Type 7,Instance 29,1.8385,30.0,624.9999999999884,296.0021616238744,329.3189554433046,1.0,3.031649005909761e-14,5.684341886080802e-15
Type 7,Instance 30,1.8385,30.0,624.9999999999905,238.33702625982326,302.40855894008246,1.0,3.221127068779121e-14,5.684341886080802e-15
Type 7,Instance 31,1.8385,30.0,624.9999999999902,240.9370262598232,299.8085589400824,1.0,3.031649005909761e-14,7.579122514774402e-15
Type 7,Instance 32,1.8385,30.0,624.9999999999884,298.6021616238743,326.7189554433046,1.0,3.031649005909761e-14,7.579122514774402e-15
Type 7,Instance 38,1.8385,30.0,624.9999999999936,137.13978260453206,288.2755318672748,1.0,3.031649005909761e-14,7.579122514774402e-15
Type 10,Instance 1,3.8268,30.0,25.000000000000036,13.464466094067227,383.53553390593277,-1.0,0.0,0.0
Type 10,Instance 2,3.8268,30.0,25.000000000000036,18.464466094067266,21.464466094067255,-1.0,0.0,0.0
Type 10,Instance 4,3.8268,30.0,624.999999999997,13.464466094096268,383.53553390593663,-1.0,-3.138230416273776e-14,-7.579122514774402e-15
Type 10,Instance 5,3.8268,30.0,624.9999999999993,18.464466094087463,21.464466094071103,-1.0,-3.150072795203111e-14,-6.868579779014302e-15
Type 10,Instance 6,3.8268,30.0,624.9999999999818,490.5355339059619,388.535533905925,-1.0,-3.031649005909761e-14,-7.579122514774402e-15
Type 14,Instance 7,2.4749,20.0,601.0940600675083,65.25184710927121,10.0,0.0,0.0,1.0
Type 14,Instance 8,2.4749,20.0,604.5940600675083,68.75184710927115,10.0,0.0,0.0,1.0
Type 16,Instance 1,3.8268,20.0,648.5355339059328,18.46446609406726,10.0,0.0,0.0,-1.0
Type 16,Instance 3,3.8268,20.0,6.464466094067264,13.464466094067262,10.0,0.0,0.0,-1.0
